Tipus_Vehicle_Codi,Tipus_Vehicle_Desc_ES,_id,Tipus_Vehicle_Desc_CA
AB,AUTOBUS,1,AUTOBUS
AC,AUTOCAR,2,AUTOCAR
AM,AMBULANCIA,3,AMBULANCIA
AP,,4,APISONADORA
BA,,5,BICICLETA AMB PEDALEIG ASSISTIT
BT,,6,BICICLETA
C,CAMIÓN,7,CAMIÓ
CC,,8,CICLE MÉS DE DUES RODES C2 PER CÀRREGA
CL,COMERCIAL,9,COMERCIAL
CM,VELOMOTORES,10,CICLOMOTOR
CP,,11,CICLE MÉS DE DUES RODES C1 TRANSPORTS DE PERSONES
CR,,12,CICLE DE MOTOR FINS A 1000W
CT,CAMIONETAS,13,CAMIONETES
F,FURGONETA,14,FURGONETA
G,GRÚA,15,GRUA
GI,,16,GINY MECÀNIC
IR,VEH.ARRASTRE,17,VEH.ARROSEGAMENT
M,MOTO,18,MOTO
MB,,19,MICROBÚS
MC,MOTO-CARRO,20,MOTO-CARRO
MP,,21,MONOPATÍ
MS,MOTO-SIDE,22,MOTO-SIDE
P,PALA,23,PALA
PC,PALA CARGADORA,24,PALA CÀRREGA
PT,,25,PATINS
QC,CUADRICICLO,26,QUADRICICLE
QP,,27,QUADRICICLE PESAT
RI,REMOLQUE IND.,28,REMOLC IND.
RT,REMOLQUE TUR.,29,REMOLC TUR.
T,TURISMO,30,TURISME
TA,TAXI,31,TAXI
TL,TRICICLO,32,TRICICLE
TR,TRACTOR,33,TRACTOR
TT,TODO TERRENO,34,TOT TERRENY
VE,VEH.ESPECIAL,35,VEH.ESPECIAL
VI,,36,VIANANT
VL,VELOMOTORES,37,VELOMOTORS
VM,VEHICULO MIXTO,38,VEHICLE MIXT
VP,,39,V.MOBIL PERSONAL
VV,VEH.VIVIENDA,40,VEH. HABITATGE
